question_id,answer_id,comment_id,comment_text,comment_owner
117508,507134.0,,nan,
117508,507207.0,,nan,
117508,507587.0,,nan,
117508,507911.0,117788.0,Any cur off coefficient if we say big positive. Because if i take all positive best features comes are near to 100 ..,312019.0
117508,507911.0,117784.0,"Clear for fetching about features. how to can we find r2,aic,bic,cp. we are using ridge/alsso.",312019.0
117508,508003.0,118199.0,Should we do this assignment for both Ridge and LAsso methods? and compare?,308437.0
119445,,,nan,
117938,508577.0,,nan,
117938,508692.0,117976.0,did the same.,318756.0
118156,509430.0,,nan,
118156,509858.0,,nan,
117836,508110.0,,nan,
117836,508120.0,,nan,
117836,509013.0,,nan,
117836,509514.0,,nan,
118417,510725.0,,nan,
118417,510731.0,,nan,
118417,510968.0,,nan,
118417,510992.0,,nan,
118417,511816.0,,nan,
117880,508256.0,,nan,
117518,507125.0,,nan,
117518,507204.0,,nan,
117605,507310.0,,nan,
117605,508047.0,,nan,
117605,507324.0,117674.0,"NA here doesn't mean ""No garage"". This is applicable for the categorical variables. In this case it just means that the data of the year is missing. Try imputing with mode.",310974.0
117605,507324.0,117683.0,"NA here means no garage, as if you check all rows having this column as null is same as the ones which dont have any garage.",317689.0
117605,507324.0,117697.0,"So, what approach shall we take ?",317689.0
117605,507324.0,117686.0,I'm sorry you're right,310974.0
117605,508104.0,,nan,
117605,507836.0,,nan,
117605,507937.0,,nan,
117605,507943.0,,nan,
117605,507944.0,,nan,
117605,508165.0,,nan,
117605,508736.0,,nan,
117605,510261.0,,nan,
117950,508648.0,,nan,
117950,508685.0,,nan,
118441,510518.0,,nan,
118441,510521.0,,nan,
118441,510546.0,,nan,
117468,506919.0,,nan,
117468,506955.0,,nan,
117468,507049.0,,nan,
117468,507044.0,,nan,
117267,505708.0,117475.0,Where are these L1 and L2 regularization techniques mentioned? Are they covered in lectures?,308437.0
117267,505708.0,117481.0,OK thanks 😊,308437.0
117267,505708.0,117478.0,Its not covered in the lectures. Please refer below link. https://www.analyticsvidhya.com/blog/2016/01/complete-tutorial-ridge-lasso-regression-python/,310467.0
117267,505786.0,,nan,
118448,510569.0,118234.0,some specific ones not all.,302738.0
118448,510569.0,118229.0,"Hi Naseem, How many rows have you retained after the outlier treatment?",311160.0
118448,510569.0,118232.0,"Hi Harsha, 1253 i.e. approximately 86% of the original data",302738.0
118448,510569.0,118233.0,"Thank you, Have you treated all the Numerical variables or specific ones ?",311160.0
118448,510569.0,118244.0,Thanks Naseem...I missed out on this somehow... Now the models are performing good...,318479.0
118448,510569.0,118252.0,you are welcome :),302738.0
118448,510728.0,118246.0,"Thanks Ram, outliers were the main culprit...",318479.0
117276,505920.0,,nan,
117276,505834.0,,nan,
117276,507459.0,,nan,
117276,505767.0,,nan,
117276,506086.0,,nan,
117276,506109.0,,nan,
118433,510484.0,,nan,
118086,509885.0,,nan,
118367,510237.0,118169.0,i did rfe on that and checked vif using the statsmodel. Moreover the age feature is having negative coeff with Lasso but positive coeff with Ridge. The swinging of signs means multicollinearity is present.,304319.0
118367,510236.0,,nan,
118100,509018.0,,nan,
118650,511814.0,118375.0,Hi naseem.. There is no TA verified answer for that query....I still hv a doubt,308437.0
118650,511901.0,,nan,
118102,509309.0,,nan,
118102,509864.0,118129.0,"I know how to generate dummies, my question is regarding is this okay to have 25 dummie columns for single feature like Neighborhood.",301118.0
118102,509864.0,118250.0,Yes Vender,344894.0
118103,509021.0,,nan,
117317,,,nan,
117322,506080.0,,nan,
117322,506951.0,,nan,
117745,507839.0,117738.0,"If we have two linear models, having different beta0 and beta1 . what is the criteria to select best model, based on constant or slope(independent variable co-efficient). In general whats the criteria to be checked.",312019.0
117745,507898.0,,nan,
118074,509039.0,,nan,
118074,509109.0,,nan,
118044,508795.0,,nan,
117336,506124.0,,nan,
117760,508374.0,,nan,
117760,507896.0,117747.0,How do we find out AIC and BIC?,304319.0
117760,508129.0,117812.0,Ok thnk you. I thought some inbuilt API is there to calculate these parameters.,304319.0
117760,508129.0,117841.0,LassoLarsIC(criterion='aic') from : https://scikit-learn.org/stable/auto_examples/linear_model/plot_lasso_model_selection.html,318438.0
117760,508131.0,,nan,
117760,508193.0,,nan,
117760,508372.0,,nan,
117760,509856.0,,nan,
118134,509409.0,,nan,
118134,509179.0,,nan,
118134,509660.0,,nan,
118134,509999.0,,nan,
